English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
for,为了,[sound:40ed6bea7ff631f6_uk.mp3],[sound:47ec11ec4a164675_us.mp3],"I can see a <span style=""color:red;""><b>for</b></span> here.",我可以在这里看到一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Frank,坦率,[sound:4edb0347abfddcc3_uk.mp3],[sound:800690ec1fc07377_us.mp3],"I can see a <span style=""color:red;""><b>frank</b></span> here.",我可以在这里看到一个弗兰克。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Friday,星期五,[sound:1a3ffb8fb32c55a2_uk.mp3],[sound:8d7185b362e2fe71_us.mp3],"We will talk about <span style=""color:red;""><b>friday</b></span> in class today.",今天我们将在课堂上讨论星期五。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
friend,朋友,[sound:11a032b5596c148d_uk.mp3],[sound:777732cb8dbf2c38_us.mp3],"I can see a <span style=""color:red;""><b>friend</b></span> here.",我可以在这里见到一个朋友。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
frightening,令人恐惧的,[sound:e8577ad7924ec916_uk.mp3],[sound:7820a997225feb3c_us.mp3],"I can see a <span style=""color:red;""><b>frightening</b></span> here.",我在这里看到了一个可怕的事情。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
frog,青蛙,[sound:1093707d7e58cbb4_uk.mp3],[sound:eb05d44e506b03bb_us.mp3],"I can see a <span style=""color:red;""><b>frog</b></span> at the zoo.",我在动物园看到一只青蛙。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
fun,乐趣,[sound:4c7ddcddf4d70b51_uk.mp3],[sound:7ffb61b31e381a81_us.mp3],"I can see a <span style=""color:red;""><b>fun</b></span> here.",我可以在这里看到一个有趣的事情。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
funny,有趣的,[sound:150c3a7b9129303a_uk.mp3],[sound:29ca1677175a9bd6_us.mp3],"I can see a <span style=""color:red;""><b>funny</b></span> here.",我在这里看到一个有趣的事情。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
fur,毛皮,[sound:3ad2cc0a2ac821da_uk.mp3],[sound:fe9d59f989261b0d_us.mp3],"I can see a <span style=""color:red;""><b>fur</b></span> here.",我在这里可以看到毛皮。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
game,游戏,[sound:2eaae6d25f29244d_uk.mp3],[sound:350662ca9e1b7c3d_us.mp3],"I can see a <span style=""color:red;""><b>game</b></span> here.",我可以在这里看一场比赛。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
garden,花园,[sound:29d1f5fd2344deda_uk.mp3],[sound:1a8b07b7c8c08e38_us.mp3],"We can go to the <span style=""color:red;""><b>garden</b></span> today.",今天我们可以去花园。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
George,乔治,[sound:e9892685de782568_uk.mp3],[sound:fa613a01b6f0ceef_us.mp3],"I can see a <span style=""color:red;""><b>george</b></span> here.",我可以在这里看到乔治。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
get,得到,[sound:0d6082bb9f9b6fc0_uk.mp3],[sound:9f902e2fa49c97e4_us.mp3],"I can see a <span style=""color:red;""><b>get</b></span> here.",我可以看到到达这里。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
giraffe,长颈鹿,[sound:d8ee045af8f92ad3_uk.mp3],[sound:72f3e69b33a5ddf5_us.mp3],"I can see a <span style=""color:red;""><b>giraffe</b></span> at the zoo.",我可以在动物园看到长颈鹿。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
girl,女孩,[sound:7784365564d20e50_uk.mp3],[sound:7c31496f8a9410b5_us.mp3],"I can see a <span style=""color:red;""><b>girl</b></span> here.",我在这里看到一个女孩。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
give,给,[sound:e3b42ae84a07f07c_uk.mp3],[sound:e6e6cb22604eabd9_us.mp3],"I can <span style=""color:red;""><b>give</b></span> it after school.",放学后我可以给它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
go,去,[sound:eac634c3cc068cbe_uk.mp3],[sound:87f13206d93fef0c_us.mp3],"I can <span style=""color:red;""><b>go</b></span> it after school.",放学后我可以去。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
go out,出去,[sound:10d5acc2dc3c7d85_uk.mp3],[sound:3dfabcf21705ebcc_us.mp3],"We do not <span style=""color:red;""><b>go out</b></span> in the rain.",下雨天我们不出去。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
goat,山羊,[sound:df7849e510dbe178_uk.mp3],[sound:5cfbcd1ef345b95d_us.mp3],"I can see a <span style=""color:red;""><b>goat</b></span> at the zoo.",我可以在动物园看到一只山羊。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
good,好的,[sound:590a301d4ca9a016_uk.mp3],[sound:ac64d802e24c42c9_us.mp3],"I can see a <span style=""color:red;""><b>good</b></span> here.",我在这里可以看到一个好东西。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
grandparent,祖父母,[sound:c1097f20862f18ed_uk.mp3],[sound:1b4af725599bc0ea_us.mp3],"I can see a <span style=""color:red;""><b>grandparent</b></span> here.",我可以在这里见到祖父母。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
grape,葡萄,[sound:be3b1636f3d229c0_uk.mp3],[sound:80fa16641bb321f8_us.mp3],"I like eating <span style=""color:red;""><b>grape</b></span> for lunch.",我午餐喜欢吃葡萄。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
green,绿色的,[sound:0e20ee91f152bd9e_uk.mp3],[sound:4b08ef3db939abb7_us.mp3],"I can see a <span style=""color:red;""><b>green</b></span> here.",我可以看到这里一片绿色。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
grey (US gray),灰色的,[sound:8739d35c2ac1ef18_uk.mp3],[sound:689d28a5d94ad042_us.mp3],"We can use ""<span style=""color:red;""><b>grey</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“灰色”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
ground,地面,[sound:67e651a5b5d05f19_uk.mp3],[sound:36d2ab9e62edc8f3_us.mp3],"I can see a <span style=""color:red;""><b>ground</b></span> here.",我可以看到这里有一个地面。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
gym,健身房,[sound:6ebb01bd3483e791_uk.mp3],[sound:486e6d9873a9e2fb_us.mp3],"I can see a <span style=""color:red;""><b>gym</b></span> here.",我可以看到这里有一个健身房。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
happy,快乐的,[sound:7fbf68bf44b4f043_uk.mp3],[sound:3272a9d035534fe8_us.mp3],"This is a <span style=""color:red;""><b>happy</b></span> one.",这是一件幸福的事。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Harry,哈利,[sound:89497d59e0dc8c82_uk.mp3],[sound:557a6d938c5dc871_us.mp3],"I can see a <span style=""color:red;""><b>harry</b></span> here.",我可以在这里看到哈利。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
hat,帽子,[sound:e717b5af6c92c207_uk.mp3],[sound:1053cb5fc07f7b58_us.mp3],"I can see a <span style=""color:red;""><b>hat</b></span> here.",我在这里看到一顶帽子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
he,他,[sound:a16244ddaaf1e42b_uk.mp3],[sound:97d92e7a08d352aa_us.mp3],"I can see a <span style=""color:red;""><b>he</b></span> here.",我在这里看到一个他。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
head,头,[sound:2d97c8369cd61491_uk.mp3],[sound:c1958351cb38790b_us.mp3],"I can see a <span style=""color:red;""><b>head</b></span> here.",我可以在这里看到一个头。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Helen,海伦,[sound:7e7a8be9edd7cef0_uk.mp3],[sound:df0b521259a0c3eb_us.mp3],"I can see a <span style=""color:red;""><b>helen</b></span> here.",我可以在这里看到海伦。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
help,帮助,[sound:8425da41a1ff72f1_uk.mp3],[sound:09523808f272534b_us.mp3],"I can <span style=""color:red;""><b>help</b></span> it after school.",放学后我可以帮忙。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
here,这里,[sound:515b41283311a43d_uk.mp3],[sound:b6b32500e56a542b_us.mp3],"I can see a <span style=""color:red;""><b>here</b></span> here.",我可以在这里看到一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
hi,你好,[sound:80f619bfb47683fd_uk.mp3],[sound:8216d6e59abb29ca_us.mp3],"I can see a <span style=""color:red;""><b>hi</b></span> here.",我可以在这里看到一个嗨。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
him,他,[sound:91aeb64aceef8ee8_uk.mp3],[sound:993835cc36cfca7f_us.mp3],"I can see a <span style=""color:red;""><b>him</b></span> here.",我在这里能看到一个他。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
hippo,河马,[sound:fb9496483e6b2d7d_uk.mp3],[sound:2b72af17d8c7383d_us.mp3],"I can see a <span style=""color:red;""><b>hippo</b></span> at the zoo.",我可以在动物园看到河马。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
hit,打,[sound:bcd1717c6c31c112_uk.mp3],[sound:fd560d58fe63ca9a_us.mp3],"I can see a <span style=""color:red;""><b>hit</b></span> here.",我可以看到这里很受欢迎。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Holly,冬青,[sound:53254230c44b2ffc_uk.mp3],[sound:8a7b3c2ad33116da_us.mp3],"I can see a <span style=""color:red;""><b>holly</b></span> here.",我在这里能看到一棵冬青树。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
home,家,[sound:a474230b08761be4_uk.mp3],[sound:9d1bddf65a8f0127_us.mp3],"I can see a <span style=""color:red;""><b>home</b></span> here.",我可以在这里看到一个家。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
homework,家庭作业,[sound:8311d65b27412e9f_uk.mp3],[sound:f5801bac6a3c8afd_us.mp3],"I can see the <span style=""color:red;""><b>homework</b></span> in my classroom.",我可以在教室里看到作业。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
honey,蜂蜜,[sound:88fa82f5ad78923b_uk.mp3],[sound:564bb26104bb62a8_us.mp3],"I like eating <span style=""color:red;""><b>honey</b></span> for lunch.",我午餐喜欢吃蜂蜜。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
hop,跳,[sound:0ceef69f4efaee93_uk.mp3],[sound:4095892ddb4651bc_us.mp3],"I can see a <span style=""color:red;""><b>hop</b></span> here.",我可以在这里看到一个跳跃。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
horse,马,[sound:fbe827ed01aa5c9a_uk.mp3],[sound:11ab3fe33b52599d_us.mp3],"I can see a <span style=""color:red;""><b>horse</b></span> at the zoo.",我可以在动物园看到一匹马。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
hospital,医院,[sound:0e19bd5553de4a10_uk.mp3],[sound:cbb2fefadf344390_us.mp3],"We can go to the <span style=""color:red;""><b>hospital</b></span> today.",今天我们可以去医院了。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
hot,热的,[sound:fe7dad6c7035972e_uk.mp3],[sound:8b694f94e258baf5_us.mp3],"This is a <span style=""color:red;""><b>hot</b></span> one.",这是一个热门的。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
hotel,酒店,[sound:718d89a3218f1d1e_uk.mp3],[sound:57af5ca6f03a281c_us.mp3],"We can go to the <span style=""color:red;""><b>hotel</b></span> today.",今天我们可以去酒店了。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
hour,小时,[sound:fb22d6d52852e48a_uk.mp3],[sound:3fb19b83199907d1_us.mp3],"We will talk about <span style=""color:red;""><b>hour</b></span> in class today.",我们今天将讨论上课时间。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
house,房子,[sound:ecb934ca66001d46_uk.mp3],[sound:a54d660f5b21c20e_us.mp3],"We can go to the <span style=""color:red;""><b>house</b></span> today.",今天我们可以去那房子了。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
how,如何,[sound:ea50b9f4f84dae27_uk.mp3],[sound:e917a3f1e6be2379_us.mp3],"I can see a <span style=""color:red;""><b>how</b></span> here.",我可以在这里看到一个方法。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
ice,冰,[sound:e6e0b9ee9b98ea96_uk.mp3],[sound:ca9a5f481957ae6b_us.mp3],"I can see an <span style=""color:red;""><b>ice</b></span> here.",我可以看到这里有一块冰。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
ice cream,冰淇淋,[sound:501fc9fe93e75f04_uk.mp3],[sound:44505ae7d75e44f8_us.mp3],"We can use ""<span style=""color:red;""><b>ice cream</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“冰淇淋”。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
if,如果,[sound:a20155c9b376259d_uk.mp3],[sound:986a9103766e0ada_us.mp3],"I can see an <span style=""color:red;""><b>if</b></span> here.",我可以在这里看到一个如果。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
ill,患病的,[sound:88c99c770d43fb84_uk.mp3],[sound:bb5f0f7cb130f18c_us.mp3],"I can see an <span style=""color:red;""><b>ill</b></span> here.",我可以在这里看到一个病人。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
information,信息,[sound:050d314bf4d26988_uk.mp3],[sound:ea544db1ebb4acf4_us.mp3],"I can see an <span style=""color:red;""><b>information</b></span> here.",我可以在这里看到一个信息。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
insect,昆虫,[sound:d6c202d91ba8fbee_uk.mp3],[sound:66850f68334eb93b_us.mp3],"I can see a <span style=""color:red;""><b>insect</b></span> at the zoo.",我在动物园里看到了一只昆虫。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
inside,里面,[sound:24589aa53bd0a9a1_uk.mp3],[sound:55ab86de9c2e41a8_us.mp3],"I can see an <span style=""color:red;""><b>inside</b></span> here.",我可以在这里看到里面。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
instrument,乐器,[sound:28b01273dcfe2708_uk.mp3],[sound:1e048f3410d86fe5_us.mp3],"I can see an <span style=""color:red;""><b>instrument</b></span> here.",我可以在这里看到一个乐器。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
interested,感兴趣的,[sound:11e944d4d041b2b6_uk.mp3],[sound:fc83d6e983982bee_us.mp3],"This is a <span style=""color:red;""><b>interested</b></span> one.",这是一个有兴趣的人。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
interesting,有趣的,[sound:19237c04804ad6b3_uk.mp3],[sound:fc39a27a37c341a9_us.mp3],"This is a <span style=""color:red;""><b>interesting</b></span> one.",这是一件有趣的事。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
it,它,[sound:522993af66ba3bfc_uk.mp3],[sound:b4e42d8284303b5b_us.mp3],"I can see an <span style=""color:red;""><b>it</b></span> here.",我可以在这里看到它。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
jacket,夹克,[sound:5b1789e088396af9_uk.mp3],[sound:3c463d6f22d9c7c9_us.mp3],"I can see a <span style=""color:red;""><b>jacket</b></span> here.",我可以在这里看到一件夹克。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
jam,果酱,[sound:95008b968e8802de_uk.mp3],[sound:89b3bbafd601b593_us.mp3],"I like eating <span style=""color:red;""><b>jam</b></span> for lunch.",我午餐喜欢吃果酱。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
January,一月,[sound:c7e0eed7104d3924_uk.mp3],[sound:8f1167aace71df21_us.mp3],"We will talk about <span style=""color:red;""><b>january</b></span> in class today.",今天我们将在课堂上讨论一月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
job,工作,[sound:d8dfad7a13a00dd7_uk.mp3],[sound:902372cf369f41a3_us.mp3],"I can see a <span style=""color:red;""><b>job</b></span> here.",我可以在这里看到一份工作。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
journalist,记者,[sound:fb9e02c8e66e71ba_uk.mp3],[sound:c021b40996352759_us.mp3],"I can see a <span style=""color:red;""><b>journalist</b></span> here.",我可以在这里看到一位记者。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
juice,汁,[sound:647b9cda97ea2300_uk.mp3],[sound:b2a5c2d0815078f1_us.mp3],"I like eating <span style=""color:red;""><b>juice</b></span> for lunch.",我午餐喜欢吃果汁。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
July,七月,[sound:456043102da512d2_uk.mp3],[sound:9adaa9649e879dde_us.mp3],"We will talk about <span style=""color:red;""><b>july</b></span> in class today.",今天我们将在课堂上讨论七月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
jump,跳,[sound:add4917ac4f97f6e_uk.mp3],[sound:5e2a10c2b9b69fc4_us.mp3],"I can <span style=""color:red;""><b>jump</b></span> it after school.",放学后我可以跳。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
June,六月,[sound:1e2e1f881ac1233e_uk.mp3],[sound:13b91dcce6c4015e_us.mp3],"We will talk about <span style=""color:red;""><b>june</b></span> in class today.",今天我们将在课堂上讨论六月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
kangaroo,袋鼠,[sound:e8ee41c1a763b974_uk.mp3],[sound:f84df2713b7a9b19_us.mp3],"I can see a <span style=""color:red;""><b>kangaroo</b></span> at the zoo.",我可以在动物园看到袋鼠。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
Katy,凯蒂,[sound:00d009389780ae69_uk.mp3],[sound:af72019e1ee3abf4_us.mp3],"I can see a <span style=""color:red;""><b>katy</b></span> here.",我可以在这里看到凯蒂。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
key,钥匙,[sound:7792ab6f6c309421_uk.mp3],[sound:c67b744cb0f3b4cf_us.mp3],"I can see a <span style=""color:red;""><b>key</b></span> here.",我可以在这里看到一把钥匙。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
kid,孩子,[sound:38893c51b3a6b4a7_uk.mp3],[sound:ee034b5d41c3f420_us.mp3],"I can see a <span style=""color:red;""><b>kid</b></span> here.",我可以在这里看到一个孩子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
kilometre (US kilometer),公里,[sound:1b6bd96863fb81c7_uk.mp3],[sound:92d3c170fe629e7e_us.mp3],"We can use ""<span style=""color:red;""><b>kilometre</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“公里”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
kitchen,厨房,[sound:f92c0b519f5a1e5c_uk.mp3],[sound:de89be9f3fefa50c_us.mp3],"We can go to the <span style=""color:red;""><b>kitchen</b></span> today.",今天我们可以去厨房。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
kitten,小猫,[sound:6c0715a124cbe8b7_uk.mp3],[sound:76c228495b9d2974_us.mp3],"I can see a <span style=""color:red;""><b>kitten</b></span> at the zoo.",我可以在动物园看到一只小猫。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
know,知道,[sound:cfdb06a8762d69e2_uk.mp3],[sound:639d0de42b5c0ec9_us.mp3],"I can see a <span style=""color:red;""><b>know</b></span> here.",我可以在这里看到一个知道。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
lake,湖,[sound:4d2d6dddd0b42933_uk.mp3],[sound:c6f14d24b0475837_us.mp3],"I can see a <span style=""color:red;""><b>lake</b></span> here.",我在这里可以看到一个湖。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
language,语言,[sound:cc3ee98ffc98e308_uk.mp3],[sound:4cca4fb17dbcd674_us.mp3],"I can see the <span style=""color:red;""><b>language</b></span> in my classroom.",我可以在教室里看到这种语言。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
learn,学习,[sound:ad2c1f966ad7dca4_uk.mp3],[sound:8e9a858dd2ac15f3_us.mp3],"I can <span style=""color:red;""><b>learn</b></span> it after school.",我可以放学后学习。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
leg,腿,[sound:9d3d4141c8b48cdf_uk.mp3],[sound:b20fd1806c50f7d0_us.mp3],"I can see a <span style=""color:red;""><b>leg</b></span> here.",我在这里可以看到一条腿。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
lemonade,柠檬水,[sound:d4e5f62776c87d69_uk.mp3],[sound:8ea55f0bb4015953_us.mp3],"I like eating <span style=""color:red;""><b>lemonade</b></span> for lunch.",我午餐喜欢吃柠檬水。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
lesson,课,[sound:bd4af0b05e0b27b7_uk.mp3],[sound:22bb8fe6010d3b00_us.mp3],"I can see a <span style=""color:red;""><b>lesson</b></span> here.",我可以在这里看到一个教训。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
let,让,[sound:05ef7221e9beece8_uk.mp3],[sound:f3f552fe5301b878_us.mp3],"I can see a <span style=""color:red;""><b>let</b></span> here.",我可以在这里看到出租。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
library,图书馆,[sound:d5223a611d32d908_uk.mp3],[sound:1ada2f1141963145_us.mp3],"We can go to the <span style=""color:red;""><b>library</b></span> today.",今天我们可以去图书馆。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
like,喜欢,[sound:983461be9cc80c27_uk.mp3],[sound:79b4e36f2f1054db_us.mp3],"I can see a <span style=""color:red;""><b>like</b></span> here.",我可以在这里看到一个赞。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
line,线,[sound:1269165af9162c4c_uk.mp3],[sound:9a6a011161bed6b5_us.mp3],"I can see a <span style=""color:red;""><b>line</b></span> here.",我可以看到这里有一条线。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
lion,狮子,[sound:c866a2a26973ef71_uk.mp3],[sound:58fcaa276f504d85_us.mp3],"I can see a <span style=""color:red;""><b>lion</b></span> at the zoo.",我可以在动物园看到狮子。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
listen,听,[sound:4a5d1ae55f09855b_uk.mp3],[sound:2b9236afe048f7f8_us.mp3],"I can <span style=""color:red;""><b>listen</b></span> it after school.",放学后我可以听。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
live,居住,[sound:6332b80d8c7b141d_uk.mp3],[sound:bde7343476c24cf7_us.mp3],"I can see a <span style=""color:red;""><b>live</b></span> here.",我可以在这里看直播。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
lizard,蜥蜴,[sound:8ff46bb2bc27027c_uk.mp3],[sound:27b70487e7ef3d14_us.mp3],"I can see a <span style=""color:red;""><b>lizard</b></span> at the zoo.",我可以在动物园看到蜥蜴。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
long,长的,[sound:45265f71df52e2f5_uk.mp3],[sound:790ee61376b9d131_us.mp3],"I can see a <span style=""color:red;""><b>long</b></span> here.",我在这里可以看到很长。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
look,看,[sound:8b0a8e71fca2319c_uk.mp3],[sound:e9418935ab878956_us.mp3],"I can <span style=""color:red;""><b>look</b></span> it after school.",放学后我可以看看。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
look after,照顾,[sound:5ad2d52c444365b9_uk.mp3],[sound:599f92884615bcee_us.mp3],"I <span style=""color:red;""><b>look after</b></span> my little brother after school.",放学后我照顾我的弟弟。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
look like,看起来像,[sound:eb5d6a84263b156d_uk.mp3],[sound:d52f7c915bc713b7_us.mp3],This cloud looks like a rabbit.,这朵云看起来像一只兔子。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
low,低的,[sound:cc73ddc656107a4e_uk.mp3],[sound:02d6ad8028131627_us.mp3],"I can see a <span style=""color:red;""><b>low</b></span> here.",我可以看到这里有一个低点。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
make,制作,[sound:19dd8a5fcda6e090_uk.mp3],[sound:bdeaf67e8fa6afb8_us.mp3],"I can <span style=""color:red;""><b>make</b></span> it after school.",放学后我可以做到。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
many,许多,[sound:909e95a92ed91798_uk.mp3],[sound:fe6bde3e393e963a_us.mp3],"I can see a <span style=""color:red;""><b>many</b></span> here.",我在这里可以看到很多。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
map,地图,[sound:0b27850d7b44dd50_uk.mp3],[sound:b3aca3b6da6eb593_us.mp3],"I can see a <span style=""color:red;""><b>map</b></span> here.",我可以在这里看到地图。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
March,行进,[sound:520bdd273da6d5c6_uk.mp3],[sound:3bb7835fa27f80d6_us.mp3],"We will talk about <span style=""color:red;""><b>march</b></span> in class today.",今天我们将在课堂上讨论进行曲。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
market,市场,[sound:cd6f156c924dca39_uk.mp3],[sound:7ec215dee0ba077b_us.mp3],"We can go to the <span style=""color:red;""><b>market</b></span> today.",今天我们可以去市场。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
mat,垫,[sound:3ca966084393f0f2_uk.mp3],[sound:63a5947997b62f09_us.mp3],"I can see a <span style=""color:red;""><b>mat</b></span> here.",我可以看到这里有一个垫子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
May,可能,[sound:956a2598a28f149a_uk.mp3],[sound:272871e0d7a3e025_us.mp3],"We will talk about <span style=""color:red;""><b>may</b></span> in class today.",今天我们将在课堂上讨论五月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
me,我,[sound:71b3970d6c0c9f22_uk.mp3],[sound:504905ccb6068454_us.mp3],"I can see a <span style=""color:red;""><b>me</b></span> here.",在这里我能看到一个我。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
meal,一顿饭,[sound:0e4865c2b0a8fd15_uk.mp3],[sound:eb65527f499c7869_us.mp3],"I like eating <span style=""color:red;""><b>meal</b></span> for lunch.",我喜欢吃午饭。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
